客户号,客户姓名,性别,年龄_连续,婚姻状态,户籍,教育程度,居住类型,职业类别,工作年限,个人收入_连续,保险缴纳,车辆情况,信用总评分,信用等级,额度,审批结果
0000999993839040,anon_S3866,男,34,未婚,宁夏,本科,租房,外资企业,11,53040,有,无,60,D-风险客户,10000,0-通过
0000999993839119,anon_S3873,男,34,已婚,山西,本科,租房,私营企业,11,53060,有,无,60,D-风险客户,10000,0-通过
0000999993839131,anon_S3875,男,34,未婚,河北,本科,租房,个体户,11,53060,有,无,60,D-风险客户,10000,0-通过
0000999993839153,anon_S3877,男,34,未婚,河北,本科,租房,私营企业,11,53075,有,无,60,D-风险客户,10000,0-通过
0000999993839164,anon_S3878,男,34,未婚,重庆,本科,租房,私营企业,11,53075,有,无,60,D-风险客户,10000,0-通过
0000999993839175,anon_S3879,男,34,未婚,北京,本科,租房,私营企业,11,53075,有,无,60,D-风险客户,10000,0-通过
0000999993839244,anon_S3886,男,34,已婚,上海,本科,租房,外资企业,11,53200,有,无,60,D-风险客户,10000,0-通过
0000999993839266,anon_S3888,女,34,已婚,天津,本科,租房,外资企业,11,53208,有,无,60,D-风险客户,10000,0-通过
0000999993839313,anon_S3893,男,34,未婚,吉林,本科,租房,私营企业,11,53208,有,无,60,D-风险客户,10000,0-通过
0000999993839324,anon_S3894,男,34,未婚,广东,本科,租房,个体户,11,53208,有,无,60,D-风险客户,10000,0-通过
0000999993839379,anon_S3899,男,34,未婚,重庆,本科,租房,个体户,11,53208,有,无,60,D-风险客户,10000,0-通过
0000999993839380,anon_S3900,男,34,未婚,广西,本科,租房,个体户,11,53208,有,无,60,D-风险客户,10000,0-通过
0000999993847085,anon_S4667,男,48,已婚,海南,初中及以下,租房,私营企业,17,67648,有,无,60,D-风险客户,10000,0-通过
0000999993808363,anon_S799,男,49,未婚,四川,本科,自购房,个体户,26,18750,有,有,60,D-风险客户,10000,0-通过
0000999993846127,anon_S4572,男,32,未婚,上海,本科,租房,个体户,9,66182,有,无,60,D-风险客户,10000,0-通过
0000999993846194,anon_S4579,男,30,未婚,安徽,大专,租房,私营企业,10,66182,有,无,60,D-风险客户,10000,0-通过
0000999993839471,anon_S3909,男,34,未婚,浙江,本科,租房,国有企业,11,53450,有,无,60,D-风险客户,10000,0-通过
