,total_arrears,days_overdue
0,74173.0,45
1,34055.4,68
2,48222.0,99
3,75950.0,12
4,76161.3,28
5,2045.6,98
6,2045.9,91
7,2046.1,82
8,2046.2,83
9,5090.2,21
10,3869.1,120
11,12297.8,109
12,3860.9,97
13,2108.4,102
14,3862.6,108
15,3841.1,95
16,5076.1,37
17,2047.7,2
18,3841.5,95
19,12339.9,114
20,3870.6,121
21,3864.9,23
22,2046.8,103
23,3873.2,122
24,3865.9,111
25,4029.7,3
26,76638.7,157
27,2049.2,89
28,2044.7,80
29,2044.9,65
30,3861.0,61
31,2047.6,98
32,2046.6,105
33,17474.3,123
34,3861.5,60
35,2431.7,46
36,17619.8,100
37,17509.2,40
38,17601.8,146
39,2427.3,99
40,17621.8,53
41,2421.2,167
42,2422.1,90
43,2425.7,56
44,2425.9,121
45,2427.8,49
46,39025.8,48
47,38989.6,111
48,12532.6,97
49,40000.0,149
50,3866.3,113
51,3862.1,59
52,12529.8,98
53,2049.6,71
54,5086.4,33
55,38972.8,5
56,12308.0,111
57,3831.7,94
58,3834.9,94
59,21809.1,6
60,12370.3,173
61,17597.1,137
62,2431.5,50
63,2430.8,32
64,2043.5,159
65,2421.8,62
66,4814.2,135
67,2107.3,101
68,3869.0,119
69,2044.0,2
70,4815.0,136
71,3975.0,119
72,2112.5,64
73,2114.1,88
74,3826.6,94
75,41186.3,116
76,2430.7,44
77,2108.0,94
78,2108.1,87
79,2104.9,118
80,45460.1,161
81,9655.6,36
82,2103.4,100
83,3975.2,153
84,12445.5,116
85,3976.0,64
86,3978.0,134
87,4035.9,7
88,2102.1,66
89,2104.3,86
90,3839.5,95
91,2108.7,103
92,2103.0,90
93,17575.0,31
94,17548.5,170
95,17525.2,34
96,3978.4,121
97,2050.6,98
98,2428.7,147
99,4064.6,76
100,3977.9,39
101,3848.4,15
102,3867.1,115
103,4052.1,8
104,4041.5,9
105,2103.1,99
106,3857.8,96
107,9507.6,43
108,5050.3,10
109,5063.9,11
110,5069.2,12
111,3837.4,95
112,3866.1,112
113,17649.5,17
114,3974.8,127
115,3976.1,120
116,4044.1,45
117,4818.4,158
118,3980.5,1
119,3851.6,96
120,3976.4,22
121,2103.7,1
122,2104.5,73
123,2052.1,91
124,2110.0,104
125,2113.5,106
126,5070.7,13
127,2105.1,94
128,5067.1,14
129,5064.0,15
130,12420.0,97
131,2113.8,107
132,2114.0,91
133,2114.3,77
134,3866.6,114
135,5058.6,16
136,5056.9,17
137,2048.7,9
138,3815.7,9
139,3820.0,94
140,3860.4,97
141,3823.1,94
142,2427.7,171
143,4066.5,18
144,4065.9,19
145,9645.3,19
146,17580.2,41
147,3858.3,63
148,4822.3,156
149,4820.1,155
150,4818.5,122
151,4816.5,166
152,4809.4,154
153,3982.3,165
154,4057.1,20
155,2431.6,42
156,2107.0,99
157,12454.6,35
158,4058.5,21
159,12312.1,112
160,3863.5,109
161,5085.2,47
162,2048.3,95
163,4048.5,22
164,21679.0,23
165,2104.6,74
166,2107.2,75
167,12454.1,117
168,4064.9,24
169,5106.9,105
170,12334.3,113
171,21713.8,16
172,12417.4,84
173,3864.0,110
174,38883.8,81
175,4062.1,25
176,12305.1,110
177,5085.7,7
178,2106.2,95
179,12498.2,97
180,12509.1,26
181,12289.7,3
182,2047.0,6
183,5095.4,102
184,3867.6,116
185,3836.9,95
186,12407.9,69
187,3846.7,95
188,5083.3,51
189,4055.3,27
190,12454.0,79
191,12395.0,78
192,4054.8,28
193,3845.7,95
194,2103.8,72
195,5083.1,54
196,2111.3,76
197,5109.1,106
198,2111.0,100
199,2110.5,105
200,2101.7,94
201,12476.5,97
202,2050.5,97
203,2106.8,97
204,2050.1,96
205,12292.5,108
206,3844.5,95
207,38669.1,160
208,4044.8,29
209,4043.1,30
210,3843.4,95
211,5091.3,101
212,12357.2,115
213,12420.4,31
214,2050.2,24
215,4041.1,32
216,12466.5,67
217,3841.8,95
218,4033.9,33
219,5082.9,57
220,21973.7,136
221,3830.1,94
222,2102.0,11
223,2048.1,94
224,12463.7,34
225,5105.8,104
226,5104.4,103
227,5078.5,58
228,2102.4,94
229,2106.6,96
230,2106.9,98
231,3836.2,95
232,21974.3,104
233,37695.0,127
234,22032.8,139
235,37363.1,106
236,21600.2,35
237,21077.7,85
238,38388.7,108
239,21367.6,97
240,38714.3,18
241,12559.0,117
242,21147.8,93
243,21074.5,70
244,98106.4,118
245,21862.9,98
246,22076.1,125
247,21262.9,93
248,39255.1,129
249,21306.2,93
250,22076.2,126
251,21114.9,97
252,44186.5,29
253,39926.4,8
254,44177.1,10
255,40772.5,131
256,37176.7,48
257,21342.4,93
258,40141.9,114
259,37261.2,25
260,39175.9,141
261,21124.6,93
262,45972.1,93
263,40204.4,34
264,37322.6,26
265,21461.2,98
266,38966.2,4
267,68925.6,63
268,40492.3,35
269,39304.6,130
270,37939.1,27
271,72860.4,13
272,39488.8,168
273,73479.7,72
274,74044.8,5
275,98781.3,145
276,46245.9,33
277,72777.8,126
278,21203.9,14
279,38414.7,109
280,46341.2,144
281,72863.6,117
282,48717.7,38
283,37132.7,55
284,40335.3,115
285,46554.4,151
286,44207.7,163
287,44207.7,37
288,38776.5,128
289,41239.0,30
290,40117.7,113
291,21200.3,93
292,38905.7,140
293,22076.4,105
294,44624.2,150
295,44497.5,143
296,21651.8,93
297,46711.8,132
298,38430.5,52
299,41346.2,42
300,21471.1,93
301,46612.6,36
302,68949.9,20
